GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s�) , ACCELEROMETER Y (m/s�), ACCELEROMETER Z (m/s�), GRAVITY X (m/s�), GRAVITY Y (m/s�), GRAVITY Z (m/s�), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (μT), MAGNETIC FIELD Y (μT), MAGNETIC FIELD Z (μT), ORIENTATION (Yaw) (°), ORIENTATION (Pitch) (°), ORIENTATION (Roll ) (°),VEHICLE ACCEL X (m/s2),VEHICLE ACCEL Y (m/s2),VEHICLE ACCEL Z (m/s2),VEHICLE GYRO X (rad/s),VEHICLE GYRO Y (rad/s),VEHICLE GYRO Z (rad/s),EST Q W,EST Q X,EST Q Y,EST Q Z,ORIENTATION INITIALIZED
52.40166,-1.50529,147.5,5.57,3,241.65,27 / 28,4921,2019-09-08 10:07:51:545,0.0658,1.3001,9.9592,-0.0067,0.0083,9.8066,0.0364,0.0553,0.0163,-6.75,-27.44,30.31,17.96,-78.46,-152.35,1.3001,-0.06579999999999975,9.9592,0.05530000000000001,-0.036399999999999995,0.0163,0.6427133181002891,0.04551377760500877,0.06048271663560554,0.7623581361624047,True
52.40166,-1.50529,147.5,5.57,3,241.65,27 / 28,5021,2019-09-08 10:07:51:645,0.0691,1.6603,9.818,0.007,-0.0011,9.8066,-0.0488,0.0673,-0.0112,-6.62,-26.69,30.5,18.6,-78.44,-152.14,1.6603000000000003,-0.0690999999999995,9.818,0.06729999999999998,0.048800000000000024,-0.011199999999999998,0.6429965663550922,0.04192315131199555,0.061213780988845945,0.7622668417665056,True
52.40166,-1.50529,147.5,5.57,3,241.65,27 / 28,5122,2019-09-08 10:07:51:746,0.2818,1.2875,9.7529,0.0029,-0.0033,9.8066,-0.0655,0.041,-0.0135,-6.94,-26.62,29.88,18.07,-78.43,-152.27,1.2875,-0.2817999999999997,9.7529,0.04099999999999999,0.0655,-0.0135,0.643478915252014,0.038759492551579115,0.06035163878392299,0.762095969717286,True
52.40166,-1.50529,147.5,5.57,3,241.65,27 / 28,5221,2019-09-08 10:07:51:845,0.4165,1.1707,9.8061,0.0038,-0.007,9.8065,-0.0677,0.0334,-0.0275,-7.06,-26.69,31.0,18.58,-78.42,-152.17,1.1707,-0.4164999999999997,9.8061,0.033399999999999985,0.0677,-0.027499999999999997,0.6444971506898297,0.035866925825314054,0.059178338953802416,0.7614689163604784,True
52.40166,-1.50529,147.5,5.57,3,241.65,27 / 28,5321,2019-09-08 10:07:51:945,-0.1991,1.7212,9.9847,-0.0066,-0.0037,9.8066,-0.0414,0.019,0.0011,-6.62,-26.69,31.13,18.72,-78.44,-152.05,1.7212,0.19910000000000028,9.9847,0.018999999999999993,0.0414,0.0011,0.6444270561765274,0.03439529078387294,0.05869187554176823,0.7616337682803576,True
52.40166,-1.50529,147.5,5.57,3,241.65,27 / 28,5421,2019-09-08 10:07:52:045,-0.1869,1.7066,9.4396,-0.0095,0.0168,9.8066,0.042,0.0376,-0.0154,-7.0,-26.12,30.69,19.7,-78.52,-151.09,1.7066,0.18690000000000018,9.4396,0.0376,-0.041999999999999996,-0.0154,0.6447801863435058,0.03486890390849308,0.06199940185288257,0.7610510791063496,True
52.40166,-1.50529,147.5,5.57,3,241.65,27 / 28,5522,2019-09-08 10:07:52:146,-0.3953,1.2726,9.9741,0.0002,0.0138,9.8066,0.0628,0.0066,-0.0119,-6.87,-25.75,32.06,20.13,-78.52,-151.02,1.2726,0.3953000000000002,9.9741,0.006600000000000012,-0.0628,-0.0119,0.6450620284562202,0.037102215351854324,0.06505265207471206,0.7604515484355185,True
52.40166,-1.50529,147.5,5.57,3,241.65,27 / 28,5621,2019-09-08 10:07:52:245,-0.5458,1.5378,9.97,-0.0028,-0.0015,9.8066,0.0224,0.049,-0.0416,-7.56,-26.75,31.5,18.19,-78.47,-151.05,1.5377999999999998,0.5458000000000001,9.97,0.049,-0.02239999999999999,-0.0416,0.6463824261194416,0.03631426814207853,0.06797009567919542,0.7591120465561134,True
52.40166,-1.50529,147.5,5.57,3,241.65,27 / 28,5722,2019-09-08 10:07:52:346,0.1189,1.4624,9.7168,-0.0033,-0.003,9.8066,-0.0075,0.0022,-0.0049,-7.06,-27.06,31.25,19.85,-78.55,-151.08,1.4623999999999997,-0.11889999999999967,9.7168,0.002199999999999999,0.0075,-0.0049,0.6465262058670691,0.03656197259767882,0.06809423565721814,0.7589665752568805,True
52.40166,-1.50529,147.5,5.57,3,241.65,27 / 28,5822,2019-09-08 10:07:52:446,0.2067,2.3462,10.1442,0.0005,-0.0009,9.8066,0.0115,0.0698,-0.0119,-6.81,-25.44,31.13,19.93,-78.53,-150.77,2.3462,-0.20669999999999966,10.1442,0.0698,-0.01149999999999999,-0.0119,0.6466482741792375,0.03499430105887416,0.07127104683670546,0.7586447431289659,True
52.40166,-1.50529,147.5,5.57,3,241.65,27 / 28,5921,2019-09-08 10:07:52:545,-0.3054,1.1901,9.5579,-0.0068,-0.0042,9.8066,0.0337,0.0059,0.0431,-7.19,-26.44,31.31,20.53,-78.52,-150.4,1.1901,0.3054000000000001,9.5579,0.005900000000000008,-0.0337,0.0431,0.6449053052057769,0.03646416839369738,0.07297583810999035,0.7598960710471824,True
52.40166,-1.50529,147.5,5.57,3,241.65,27 / 28,6022,2019-09-08 10:07:52:646,-0.1416,1.4104,9.5326,-0.0171,-0.0082,9.8066,-0.003,0.0266,0.0343,-7.31,-26.69,31.31,21.49,-78.41,-149.77,1.4104,0.14160000000000017,9.5326,0.0266,0.0030000000000000044,0.0343,0.6434451112079195,0.03601041810768158,0.07400553525928245,0.7610550698874065,True
52.40166,-1.50529,147.5,5.57,3,241.65,27 / 28,6122,2019-09-08 10:07:52:746,-0.0544,1.546,9.5328,0.0031,0.0079,9.8066,0.0069,0.0373,-0.0139,-7.87,-27.06,31.38,19.92,-78.42,-149.3,1.546,0.054400000000000226,9.5328,0.0373,-0.006899999999999993,-0.0139,0.6437684915898945,0.035337700934958124,0.07582448703442916,0.760633961439186,True
52.40166,-1.50529,147.5,5.57,3,241.65,27 / 28,6222,2019-09-08 10:07:52:846,-0.9257,1.6676,10.3216,0.0015,-0.0088,9.8065,0.0248,0.0193,0.0251,-7.12,-27.06,31.06,22.16,-78.52,-149.18,1.6675999999999995,0.9257,10.3216,0.019300000000000005,-0.024799999999999992,0.025099999999999997,0.6426520178724169,0.03589613865090236,0.07780709604209762,0.7613513689223668,True
52.40166,-1.50529,147.5,5.57,3,241.65,27 / 28,6322,2019-09-08 10:07:52:946,-0.5155,1.326,9.8827,0.0099,-0.0016,9.8066,0.0531,0.0286,0.0144,-7.0,-26.81,31.0,22.34,-78.64,-148.99,1.326,0.5155000000000002,9.8827,0.028600000000000007,-0.053099999999999994,0.0144,0.641850252652031,0.03698624774656151,0.08105914763060962,0.7616361895508595,True
52.40166,-1.50529,147.5,5.57,3,241.65,27 / 28,6421,2019-09-08 10:07:53:045,0.1088,1.6868,9.8483,-0.0014,-0.0016,9.8066,0.0227,0.0086,0.0393,-7.31,-25.94,30.94,21.94,-78.68,-149.17,1.6867999999999999,-0.10879999999999967,9.8483,0.008600000000000003,-0.022699999999999998,0.0393,0.6402317355524638,0.03813457269354608,0.08241290105281845,0.7627956429457492,True
52.40166,-1.50529,147.5,5.57,3,241.65,27 / 28,6522,2019-09-08 10:07:53:146,0.3099,0.9932,9.6978,-0.0035,-0.008,9.8065,0.0459,0.0049,0.0266,-7.56,-25.87,31.81,20.27,-78.69,-149.14,0.9932000000000001,-0.3098999999999999,9.6978,0.004900000000000005,-0.045899999999999996,0.0266,0.6390446082152136,0.04007427175156415,0.0844184109807645,0.763472051447942,True
52.40166,-1.50529,147.5,5.57,3,241.65,27 / 28,6622,2019-09-08 10:07:53:246,-0.2505,2.0428,9.5068,-0.0031,0.0028,9.8065,-0.0276,0.0299,0.0036,-7.5,-26.69,31.5,23.06,-78.74,-148.63,2.0427999999999997,0.2505000000000003,9.506799999999998,0.029899999999999996,0.027600000000000006,0.0036,0.6387717174512458,0.038652182792879845,0.08473834139783017,0.7637382504804094,True
52.40166,-1.50529,147.5,5.57,3,241.65,27 / 28,6721,2019-09-08 10:07:53:345,0.0046,1.45,9.7885,-0.0013,0.0015,9.8066,0.0002,-0.0021,-0.0217,-7.62,-26.81,31.69,21.48,-78.86,-148.18,1.45,-0.004599999999999715,9.7885,-0.0021,-0.00020000000000000042,-0.0217,0.63954628198728,0.03917380686873513,0.08497425873570692,0.7630369200792153,True
52.40166,-1.50529,147.5,5.57,3,241.65,27 / 28,6821,2019-09-08 10:07:53:445,-0.1125,1.3453,9.8381,-0.009,0.0066,9.8066,0.0505,-0.0009,-0.0014,-7.5,-26.37,31.56,23.92,-78.87,-147.72,1.3453,0.11250000000000016,9.8381,-0.0008999999999999911,-0.0505,-0.0013999999999999998,0.6394517268112296,0.041297566518465494,0.08711761816359471,0.7627624274197646,True
52.40166,-1.50529,147.5,5.57,3,241.65,27 / 28,6922,2019-09-08 10:07:53:546,-0.3253,1.4915,10.0593,0.0077,-0.0146,9.8065,-0.0367,0.0338,-0.0083,-7.75,-26.94,31.5,21.53,-78.78,-148.17,1.4915,0.32530000000000014,10.0593,0.03379999999999999,0.03670000000000001,-0.008299999999999998,0.639646221829854,0.03924374000083544,0.08710794540317676,0.7627088865466151,True
52.40166,-1.50529,147.5,5.57,3,241.65,27 / 28,7022,2019-09-08 10:07:53:646,-0.2107,0.9142,9.6648,0.0106,-0.0007,9.8066,0.0042,0.0071,0.0127,-7.56,-26.62,31.25,20.49,-78.87,-148.67,0.9142,0.21070000000000016,9.6648,0.007100000000000001,-0.004199999999999999,0.0127,0.6390811445267056,0.03956006165019168,0.08764497118667912,0.7631046135742828,True
52.40166,-1.50529,147.5,5.57,3,241.65,27 / 28,7121,2019-09-08 10:07:53:745,0.3349,2.1905,9.743,0.0044,-0.0051,9.8066,-0.002,0.0189,0.001,-6.81,-26.5,31.31,22.22,-78.89,-148.86,2.1905,-0.33489999999999986,9.743,0.0189,0.0020000000000000018,0.001,0.6388915531477936,0.039479059096556794,0.0885010784984173,0.7631687534968055,True
52.40166,-1.50529,147.5,5.57,3,241.65,27 / 28,7221,2019-09-08 10:07:53:845,-0.3283,2.1472,9.9405,-0.0056,-0.0002,9.8066,0.0281,0.0526,-0.0067,-7.44,-26.06,31.38,22.2,-78.94,-148.86,2.1472,0.32830000000000037,9.9405,0.05260000000000001,-0.028099999999999993,-0.006699999999999999,0.6387897547122863,0.03891101913812125,0.09167270891511468,0.7629087077130622,True
52.40166,-1.50529,147.5,5.57,3,241.65,27 / 28,7322,2019-09-08 10:07:53:946,0.1982,1.0569,9.8299,-0.0065,0.0029,9.8066,0.0141,0.0045,0.0036,-7.31,-26.19,32.0,23.01,-78.91,-148.47,1.0569,-0.19819999999999982,9.8299,0.0045,-0.014099999999999998,0.0036,0.6385500671983464,0.039713696933951916,0.09247713140821709,0.762970913025741,True
52.40166,-1.50529,147.5,5.57,3,241.65,27 / 28,7422,2019-09-08 10:07:54:046,-0.3598,2.0,10.076,-0.0071,0.0058,9.8065,-0.0013,-0.0031,0.0101,-7.69,-26.75,31.75,21.72,-78.9,-147.97,2.0,0.35980000000000023,10.076,-0.0030999999999999995,0.001299999999999999,0.0101,0.6381199526933543,0.04036337632848645,0.09267523408165038,0.7632725756988179,True
52.40166,-1.50529,147.5,5.57,3,241.65,27 / 28,7521,2019-09-08 10:07:54:145,-0.186,1.3782,9.8767,0.0002,0.0078,9.8065,0.0136,0.0269,-0.0003,-8.12,-26.56,31.81,21.94,-78.96,-147.76,1.3782,0.18600000000000017,9.8767,0.026900000000000004,-0.013600000000000001,-0.0003,0.6379276075623763,0.040242811933617575,0.09425501015730732,0.7632462752334035,True
52.40166,-1.50529,147.5,5.57,3,241.65,27 / 28,7622,2019-09-08 10:07:54:246,-0.3725,1.6443,9.7896,0.0019,0.0068,9.8066,-0.0166,0.0293,-0.012,-7.87,-27.37,31.44,21.43,-79.02,-147.83,1.6443,0.37250000000000016,9.7896,0.0293,0.016600000000000007,-0.012,0.6382275048051416,0.03899677268470274,0.09488123768553491,0.7629826043663391,True
52.40166,-1.50529,147.5,5.57,3,241.65,27 / 28,7721,2019-09-08 10:07:54:345,-0.0552,1.3082,9.4465,0.0027,0.006,9.8065,-0.0185,0.0265,-0.024,-7.69,-26.69,31.31,21.37,-79.12,-147.85,1.3081999999999998,0.05520000000000025,9.4465,0.026499999999999996,0.0185,-0.024,0.638989638406777,0.03779170073623406,0.0952581174218185,0.7623581313460821,True
52.40166,-1.50529,147.5,5.57,3,241.65,26 / 27,7821,2019-09-08 10:07:54:445,0.0079,1.1675,9.999,0.0037,0.0063,9.8066,-0.0105,0.011,0.0027,-7.75,-26.06,32.06,21.39,-79.2,-148.02,1.1675,-0.007899999999999796,9.999,0.010999999999999998,0.010500000000000002,0.0027,0.6388010595518999,0.03754217662244562,0.0953570063894192,0.7625161195819191,True
52.40166,-1.50529,147.5,5.57,3,241.65,26 / 27,7922,2019-09-08 10:07:54:546,-0.1963,1.0801,10.0373,0.0052,0.0025,9.8066,-0.0024,0.0141,-0.0019,-7.31,-26.56,31.44,23.06,-79.24,-148.15,1.0801,0.19630000000000014,10.0373,0.014099999999999998,0.002400000000000001,-0.0018999999999999998,0.6387635051988934,0.03734001615349083,0.09588779958556923,0.7624909425759222,True
52.40166,-1.50529,147.5,5.57,3,241.65,26 / 27,8021,2019-09-08 10:07:54:645,-0.1002,1.0834,9.843,0.0013,0.0039,9.8066,-0.0057,0.029,-0.0113,-7.37,-27.0,31.81,23.11,-79.3,-148.36,1.0833999999999997,0.10020000000000018,9.843,0.029,0.005700000000000005,-0.0113,0.6390137921454103,0.03645394439575713,0.09675791511545771,0.76221413608542,True
52.40166,-1.50529,147.5,5.57,3,241.65,26 / 27,8121,2019-09-08 10:07:54:745,0.1379,1.176,9.7408,0.0031,0.0064,9.8066,-0.0059,0.0296,-0.0065,-7.5,-27.06,30.81,22.69,-79.35,-148.42,1.176,-0.1378999999999997,9.7408,0.0296,0.0059000000000000025,-0.0065,0.6390746699220758,0.03561206470625193,0.09760629689356883,0.7620947171566486,True
52.40166,-1.50529,147.5,5.57,3,241.65,26 / 27,8222,2019-09-08 10:07:54:846,-0.0807,0.8154,9.8503,-0.0046,0.0088,9.8066,0.0226,0.0172,0.0107,-7.56,-27.0,31.69,21.21,-79.48,-148.19,0.8154,0.0807000000000001,9.8503,0.017200000000000003,-0.022599999999999995,0.0107,0.6384929673024984,0.036143201709637134,0.09909199670169837,0.7623655132973275,True
52.40166,-1.50529,147.5,5.57,3,241.65,26 / 27,8322,2019-09-08 10:07:54:946,0.0536,0.8557,9.9076,-0.0036,0.0086,9.8066,0.005,0.0377,0.0047,-7.62,-26.56,31.25,20.98,-79.49,-148.03,0.8556999999999999,-0.053599999999999814,9.9076,0.0377,-0.0049999999999999975,0.004699999999999999,0.6380703515055637,0.03533257076441299,0.10053418114808747,0.7625684981650027,True
52.40166,-1.50529,147.5,5.57,3,241.65,26 / 27,8422,2019-09-08 10:07:55:046,-0.1542,0.8258,9.9247,-0.0019,0.0079,9.8066,-0.0005,-0.0035,-0.0021,-7.75,-26.5,31.63,21.56,-79.49,-147.76,0.8257999999999999,0.15420000000000017,9.9247,-0.0035,0.0004999999999999994,-0.0021,0.638125489728619,0.03584058508225153,0.10049256150186504,0.762504135662467,True
52.40166,-1.50529,147.5,5.57,3,241.65,26 / 27,8522,2019-09-08 10:07:55:146,0.0587,0.7137,9.7298,0.0009,0.0095,9.8066,0.0125,0.0208,-0.0017,-8.06,-26.44,31.44,21.25,-79.55,-147.67,0.7137,-0.05869999999999992,9.7298,0.020800000000000003,-0.012499999999999997,-0.0017000000000000001,0.6380188592800838,0.03586563792810691,0.10165660259981807,0.7624378836120443,True
52.40166,-1.50529,147.5,5.57,3,241.65,26 / 27,8622,2019-09-08 10:07:55:246,0.0414,0.6016,9.9323,0.0023,0.002,9.8066,0.0061,0.0123,-0.0097,-7.25,-26.12,31.0,23.43,-79.65,-147.55,0.6016,-0.04139999999999994,9.9323,0.012300000000000002,-0.006099999999999999,-0.0097,0.6382746360557424,0.03593626038026356,0.10230515096055146,0.7621336695388351,True
52.40166,-1.50529,147.5,5.57,3,241.65,26 / 27,8721,2019-09-08 10:07:55:345,0.1256,0.5247,9.9626,0.0011,0.0014,9.8066,-0.0156,0.0084,-0.0187,-7.62,-26.37,31.44,21.33,-79.69,-147.55,0.5247,-0.12559999999999993,9.9626,0.008399999999999998,0.0156,-0.0187,0.638925068642588,0.03543370193330451,0.10199231934455806,0.7616539740735839,True
52.40166,-1.50529,147.5,5.57,3,241.65,26 / 27,8821,2019-09-08 10:07:55:445,0.1793,0.6265,9.8452,0.0009,0.0046,9.8066,0.0049,-0.0093,-0.0043,-7.81,-26.37,31.38,21.45,-79.76,-147.42,0.6265000000000001,-0.17929999999999988,9.8452,-0.0093,-0.004900000000000002,-0.0043,0.6390842728500296,0.03635362894716817,0.1018739736044289,0.7614928754493799,True
52.40166,-1.50529,147.5,5.57,3,241.65,26 / 28,8921,2019-09-08 10:07:55:545,0.0848,0.3436,9.9432,-0.0011,0.0049,9.8066,0.0052,-0.0028,0.0029,-7.37,-25.81,31.25,23.66,-79.87,-147.27,0.3436,-0.08479999999999993,9.9432,-0.0027999999999999987,-0.0052,0.0029,0.6389432689721599,0.03700499381602315,0.10193057229583513,0.761572247327389,True
52.40166,-1.50529,147.5,5.57,3,241.65,26 / 28,9022,2019-09-08 10:07:55:646,0.1513,0.2498,9.8079,-0.0024,0.0043,9.8066,-0.0149,0.0105,0.0085,-7.44,-25.75,31.31,23.96,-79.91,-146.99,0.2498,-0.15129999999999993,9.8079,0.010499999999999999,0.014900000000000002,0.0085,0.6385549236645673,0.03653525491538328,0.10160749122392905,0.7619637145817284,True
